Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,CHI,50,16,0.758,-,26-7,24-9,13-1,38-10,96.3,88.2,8.1,W3,7-3,True
2,MIA,46,20,0.6970000000000001,4,28-5,18-15,9-5,35-13,98.5,92.5,6.0,L2,6-4,True
3,IND,42,24,0.636,8,23-10,19-14,9-4,29-19,97.7,94.4,3.3,L1,8-2,True
4,BOS,39,27,0.591,11,24-9,15-18,8-6,32-16,91.8,89.3,2.5,W2,7-3,True
5,ATL,40,26,0.606,10,23-10,17-16,11-3,31-17,96.6,93.2,3.4,W2,7-3,True
6,ORL,37,29,0.561,13,21-12,16-17,8-7,30-18,94.2,93.4,0.8,L1,4-6,True
7,NYK,36,30,0.545,14,22-11,14-19,8-6,28-20,97.8,94.7,3.1,W3,7-3,True
8,PHI,35,31,0.53,15,19-14,16-17,7-6,28-20,93.6,89.4,4.2,L1,6-4,True
9,MIL,31,35,0.47,19,17-16,14-19,7-8,24-24,99.0,98.7,0.3,L2,3-7,False
10,DET,25,41,0.379,25,18-15,7-26,4-11,20-28,90.9,95.7,-4.8,W1,4-6,False
11,TOR,23,43,0.348,27,13-20,10-23,7-8,15-33,90.7,94.0,-3.3,W1,3-7,False
12,BRK,22,44,0.33299999999999996,28,9-24,13-20,5-9,16-32,93.1,99.1,-6.0,L6,3-7,False
13,CLE,21,45,0.318,29,11-22,10-23,3-12,13-35,93.0,100.2,-7.2,L4,2-8,False
14,WAS,20,46,0.303,30,11-22,9-24,7-7,16-32,93.6,98.4,-4.8,W6,8-2,False
15,CHO,7,59,0.106,43,4-29,3-30,1-14,5-43,87.0,100.9,-13.9,L23,0-10,False
