Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,LAL,52,19,0.732,-,25-10,27-9,10-3,36-10,113.4,107.6,5.8,L1,4-6,True
2,LAC,49,23,0.6809999999999999,3.5,27-9,22-14,8-6,32-16,116.3,109.9,6.4,W2,6-4,True
3,DEN,46,27,0.63,7,26-11,20-16,12-2,29-16,111.3,109.2,2.1,L3,4-6,True
4,HOU,44,28,0.611,8.5,24-12,20-16,8-5,28-19,117.8,114.8,3.0,L3,5-5,True
5,OKC,44,28,0.611,8.5,23-14,21-14,8-5,27-19,110.4,108.4,2.0,L1,6-4,True
6,UTA,44,28,0.611,8.5,23-12,21-16,5-7,24-21,111.3,108.8,2.5,W1,4-6,True
7,DAL,43,32,0.573,11,20-18,23-14,10-4,27-20,117.0,112.1,4.9,L2,4-6,True
8,POR,35,39,0.473,18.5,21-15,14-24,5-8,20-27,115.0,116.1,-1.1,W3,7-3,True
9,MEM,34,39,0.466,19,20-17,14-22,4-9,20-26,112.6,113.7,-1.1,W1,3-7,False
10,PHO,34,39,0.466,19,17-22,17-17,6-9,19-27,113.6,113.4,0.2,W8,9-1,False
11,SAS,32,39,0.451,20,19-15,13-24,7-6,20-23,114.1,115.2,-1.1,L1,6-4,False
12,SAC,31,41,0.431,21.5,16-19,15-22,8-5,23-23,110.1,112.1,-2.0,W2,4-6,False
13,NOP,30,42,0.41700000000000004,22.5,15-21,15-21,4-9,18-30,115.8,117.1,-1.3,L3,4-6,False
14,MIN,19,45,0.297,29.5,8-24,11-21,2-10,9-30,113.3,117.5,-4.2,L3,3-7,False
15,GSW,15,50,0.231,34,8-26,7-24,2-11,9-34,106.3,115.0,-8.7,L1,3-7,False
