Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,DET,53,29,0.6459999999999999,-,26-15,27-14,9-7,36-16,96.0,91.8,4.2,W2,7-3,True
2,CLE,50,32,0.61,3,30-11,20-21,10-6,31-21,96.8,92.9,3.9,W4,7-3,True
3,TOR,47,35,0.573,6,30-11,17-24,11-5,33-19,99.5,98.5,1.0,L2,7-3,True
4,MIA,44,38,0.537,9,27-14,17-24,9-7,27-25,94.6,95.5,-0.9,L2,5-5,True
5,CHI,49,33,0.598,4,31-10,18-23,12-4,36-16,98.8,93.8,5.0,L1,7-3,True
6,BRK,41,41,0.5,12,24-17,17-24,10-6,31-21,97.6,98.3,-0.7,W4,8-2,True
7,WAS,41,41,0.5,12,26-15,15-26,8-8,27-25,104.3,104.9,-0.6,W1,2-8,True
8,ORL,40,42,0.488,13,25-16,15-26,9-7,26-26,94.8,94.0,0.8,W4,7-3,True
9,IND,35,47,0.42700000000000005,18,22-19,13-28,8-8,25-27,95.6,98.0,-2.4,L4,4-6,False
10,PHI,35,47,0.42700000000000005,18,21-20,14-27,9-7,24-28,94.9,98.0,-3.1,W1,6-4,False
11,CHO,33,49,0.402,20,20-21,13-28,9-7,24-28,96.9,100.6,-3.7,L1,6-4,False
12,NYK,33,49,0.402,20,19-22,14-27,3-13,22-30,97.5,100.3,-2.8,W1,2-8,False
13,ATL,30,52,0.366,23,18-23,12-29,5-11,17-35,93.7,98.4,-4.7,W1,3-7,False
14,MIL,28,54,0.341,25,18-23,10-31,1-15,15-37,99.7,104.0,-4.3,L1,3-7,False
15,BOS,24,58,0.293,29,12-29,12-29,7-9,16-36,95.8,99.2,-3.4,L1,2-8,False
