Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,GSW,57,25,0.695,-,30-11,27-14,13-3,35-17,117.7,111.2,6.5,L1,8-2,True
2,DEN,54,28,0.659,3,34-7,20-21,12-4,34-18,110.7,106.7,4.0,W1,5-5,True
3,POR,53,29,0.6459999999999999,4,32-9,21-20,6-10,29-23,114.7,110.5,4.2,W3,8-2,True
4,HOU,53,29,0.6459999999999999,4,31-10,22-19,10-6,32-20,113.9,109.1,4.8,L1,8-2,True
5,UTA,50,32,0.61,7,29-12,21-20,8-8,30-22,111.7,106.5,5.2,L1,8-2,True
6,OKC,49,33,0.598,8,27-14,22-19,9-7,28-24,114.5,111.1,3.4,W5,7-3,True
7,SAS,48,34,0.585,9,32-9,16-25,10-6,30-22,111.7,110.0,1.7,W3,6-4,True
8,LAC,48,34,0.585,9,26-15,22-19,11-5,28-24,115.1,114.3,0.8,W1,6-4,True
9,SAC,39,43,0.47600000000000003,18,24-17,15-26,4-12,21-31,114.2,115.3,-1.1,L3,3-7,False
10,LAL,37,45,0.451,20,22-19,15-26,9-7,25-27,111.8,113.5,-1.7,L1,6-4,False
11,MIN,36,46,0.439,21,25-16,11-30,5-11,22-30,112.5,114.0,-1.5,L3,4-6,False
12,MEM,33,49,0.402,24,21-20,12-29,8-8,24-28,103.5,106.1,-2.6,W1,4-6,False
13,NOP,33,49,0.402,24,19-22,14-27,8-8,23-29,115.4,116.8,-1.4,L1,3-7,False
14,DAL,33,49,0.402,24,24-17,9-32,4-12,18-34,108.9,110.1,-1.2,L1,5-5,False
15,PHO,19,63,0.23199999999999998,38,12-29,7-34,3-13,11-41,107.5,116.8,-9.3,L2,2-8,False
