Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,LAL,57,25,0.695,-,30-11,27-14,12-4,37-15,108.6,101.3,7.3,W4,8-2,True
2,NOP,56,26,0.6829999999999999,1,30-11,26-15,10-6,34-18,100.9,95.6,5.3,L1,6-4,True
3,SAS,56,26,0.6829999999999999,1,34-7,22-19,10-6,33-19,95.4,90.6,4.8,W2,7-3,True
4,UTA,54,28,0.659,3,37-4,17-24,10-6,33-19,106.2,99.3,6.9,L1,7-3,True
5,HOU,55,27,0.6709999999999999,2,31-10,24-17,8-8,33-19,96.7,92.0,4.7,W1,6-4,True
6,PHO,55,27,0.6709999999999999,2,30-11,25-16,10-6,31-21,110.1,105.0,5.1,W2,7-3,True
7,DAL,51,31,0.622,6,34-7,17-24,10-6,33-19,100.4,95.9,4.5,W1,6-4,True
8,DEN,50,32,0.61,7,33-8,17-24,10-6,31-21,110.7,107.0,3.7,W2,6-4,True
9,GSW,48,34,0.585,9,27-14,21-20,10-6,28-24,111.0,108.8,2.2,L2,4-6,False
10,POR,41,41,0.5,16,28-13,13-28,11-5,26-26,95.4,96.3,-0.9,L1,3-7,False
11,SAC,38,44,0.46299999999999997,19,26-15,12-29,3-13,21-31,102.5,104.8,-2.3,L2,6-4,False
12,LAC,23,59,0.28,34,13-28,10-31,5-11,13-39,93.8,101.1,-7.3,L7,2-8,False
13,MIN,22,60,0.268,35,15-26,7-34,3-13,14-38,95.6,102.4,-6.8,W1,3-7,False
14,MEM,22,60,0.268,35,14-27,8-33,2-14,11-41,100.7,106.9,-6.2,L3,3-7,False
15,OKC,20,62,0.244,37,13-28,7-34,6-10,12-40,97.5,106.3,-8.8,W2,3-7,False
