Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,IND,56,26,0.6829999999999999,-,35-6,21-20,12-4,38-14,96.7,92.3,4.4,W2,4-6,True
2,MIA,54,28,0.659,2,32-9,22-19,12-4,34-18,102.2,97.4,4.8,L3,4-6,True
3,TOR,48,34,0.585,8,26-15,22-19,11-5,32-20,101.3,98.0,3.3,L1,7-3,True
4,CHI,48,34,0.585,8,27-14,21-20,11-5,35-17,93.7,91.8,1.9,L1,8-2,True
5,WAS,44,38,0.537,12,22-19,22-19,10-6,33-19,100.7,99.4,1.3,W4,7-3,True
6,BRK,44,38,0.537,12,28-13,16-25,9-7,26-26,98.5,99.5,-1.0,L2,5-5,True
7,CHO,43,39,0.524,13,25-16,18-23,6-10,30-22,96.9,97.1,-0.2,W3,8-2,True
8,ATL,38,44,0.46299999999999997,18,24-17,14-27,8-8,28-24,101.0,101.5,-0.5,W1,7-3,True
9,NYK,37,45,0.451,19,19-22,18-23,10-6,26-26,98.6,99.4,-0.8,W4,7-3,False
10,CLE,33,49,0.402,23,19-22,14-27,7-9,21-31,98.2,101.5,-3.3,W1,5-5,False
11,DET,29,53,0.354,27,17-24,12-29,6-10,23-29,101.0,104.7,-3.7,L4,3-7,False
12,BOS,25,57,0.305,31,16-25,9-32,5-11,21-31,96.2,100.7,-4.5,L2,2-8,False
13,ORL,23,59,0.28,33,19-22,4-37,4-12,17-35,96.5,102.0,-5.5,L4,3-7,False
14,PHI,19,63,0.23199999999999998,37,10-31,9-32,5-11,14-38,99.5,109.9,-10.4,W2,4-6,False
15,MIL,15,67,0.183,41,10-31,5-36,4-12,12-40,95.5,103.7,-8.2,L3,1-9,False
