Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,PHI,49,23,0.6809999999999999,-,29-7,20-16,10-2,31-11,113.6,108.1,5.5,W2,8-2,True
2,BRK,48,24,0.667,1,28-8,20-16,8-4,26-16,118.6,114.1,4.5,W5,6-4,True
3,MIL,46,26,0.639,3,26-10,20-16,11-1,30-12,120.1,114.2,5.9,L1,8-2,True
4,NYK,41,31,0.569,8,25-11,16-20,4-8,25-17,107.0,104.7,2.3,W3,7-3,True
5,ATL,41,31,0.569,8,25-11,16-20,9-3,24-18,113.7,111.4,2.3,W4,7-3,True
6,MIA,40,32,0.556,9,21-15,19-17,6-6,24-18,108.1,108.0,0.1,W1,8-2,True
7,BOS,36,36,0.5,13,21-15,15-21,4-8,20-22,112.6,111.2,1.4,L1,4-6,True
8,WAS,34,38,0.47200000000000003,15,19-17,15-21,3-9,16-26,116.6,118.5,-1.9,W2,6-4,True
9,IND,34,38,0.47200000000000003,15,13-23,21-15,7-5,20-22,115.3,115.3,0.0,W1,5-5,False
10,CHO,33,39,0.45799999999999996,16,18-18,15-21,8-4,20-22,109.5,111.4,-1.9,L5,3-7,False
11,CHI,31,41,0.431,18,15-21,16-20,7-5,21-21,110.7,111.6,-0.9,W1,5-5,False
12,TOR,27,45,0.375,22,16-20,11-25,4-8,17-25,111.3,111.7,-0.4,L7,1-9,False
13,CLE,22,50,0.306,27,13-23,9-27,4-8,16-26,103.8,112.3,-8.5,L2,1-9,False
14,ORL,21,51,0.292,28,11-25,10-26,4-8,13-29,104.0,113.3,-9.3,L7,2-8,False
15,DET,20,52,0.278,29,13-23,7-29,1-11,12-30,106.6,111.1,-4.5,L5,1-9,False
