Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,CLE,57,25,0.695,-,33-8,24-17,8-8,35-17,104.3,98.3,6.0,L1,6-4,True
2,TOR,56,26,0.6829999999999999,1,32-9,24-17,14-2,39-13,102.7,98.2,4.5,W4,7-3,True
3,MIA,48,34,0.585,9,28-13,20-21,10-6,31-21,100.0,98.4,1.6,L1,6-4,True
4,ATL,48,34,0.585,9,27-14,21-20,8-8,29-23,102.8,99.2,3.6,L2,6-4,True
5,BOS,48,34,0.585,9,28-13,20-21,10-6,31-21,105.7,102.5,3.2,W1,6-4,True
6,CHO,48,34,0.585,9,30-11,18-23,8-8,33-19,103.4,100.7,2.7,W2,7-3,True
7,IND,45,37,0.5489999999999999,12,26-15,19-22,8-8,30-22,102.2,100.5,1.7,W3,7-3,True
8,DET,44,38,0.537,13,26-15,18-23,10-6,29-23,102.0,101.4,0.6,W1,6-4,True
9,CHI,42,40,0.512,15,26-15,16-25,10-6,25-27,101.6,103.1,-1.5,W3,6-4,False
10,WAS,41,41,0.5,16,22-19,19-22,10-6,30-22,104.1,104.6,-0.5,W3,6-4,False
11,ORL,35,47,0.42700000000000005,22,23-18,12-29,4-12,21-31,102.1,103.7,-1.6,L1,6-4,False
12,MIL,33,49,0.402,24,23-18,10-31,4-12,21-31,99.0,103.2,-4.2,L2,3-7,False
13,NYK,32,50,0.39,25,18-23,14-27,8-8,21-31,98.4,101.1,-2.7,L2,3-7,False
14,BRK,21,61,0.256,36,14-27,7-34,6-10,12-40,98.6,106.0,-7.4,L10,0-10,False
15,PHI,10,72,0.122,47,7-34,3-38,2-14,3-49,97.4,107.6,-10.2,L4,1-9,False
