Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,CLE,61,21,0.7440000000000001,-,35-6,26-15,12-4,38-14,102.1,95.6,6.5,L4,4-6,True
2,ORL,59,23,0.72,2,34-7,25-16,10-6,39-13,102.8,95.3,7.5,W6,9-1,True
3,ATL,53,29,0.6459999999999999,8,34-7,19-22,8-8,32-20,101.7,97.0,4.7,W4,7-3,True
4,BOS,50,32,0.61,11,24-17,26-15,13-3,33-19,99.2,95.6,3.6,L2,3-7,True
5,MIA,47,35,0.573,14,24-17,23-18,9-7,32-20,96.5,94.2,2.3,W3,9-1,True
6,MIL,46,36,0.561,15,28-13,18-23,10-6,31-21,97.7,96.0,1.7,W1,6-4,True
7,CHO,44,38,0.537,17,31-10,13-28,10-6,27-25,95.3,93.8,1.5,L1,6-4,True
8,CHI,41,41,0.5,20,24-17,17-24,10-6,28-24,97.5,99.1,-1.6,W3,7-3,True
9,TOR,40,42,0.488,21,25-16,15-26,11-5,29-23,104.1,105.9,-1.8,W2,5-5,False
10,IND,32,50,0.39,29,23-18,9-32,6-10,23-29,100.8,103.8,-3.0,L2,6-4,False
11,NYK,29,53,0.354,32,18-23,11-30,6-10,20-32,102.1,105.9,-3.8,L1,3-7,False
12,DET,27,55,0.32899999999999996,34,17-24,10-31,2-14,18-34,94.0,99.1,-5.1,W1,4-6,False
13,PHI,27,55,0.32899999999999996,34,12-29,15-26,7-9,14-38,97.7,101.6,-3.9,L2,2-8,False
14,WAS,26,56,0.317,35,15-26,11-30,3-13,18-34,96.2,101.0,-4.8,W1,5-5,False
15,BRK,12,70,0.146,49,8-33,4-37,3-13,8-44,92.4,101.5,-9.1,L3,3-7,False
