Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,CHI,62,20,0.7559999999999999,-,36-5,26-15,15-1,39-13,98.6,91.3,7.3,W9,9-1,True
2,MIA,58,24,0.7070000000000001,4,30-11,28-13,13-3,38-14,102.1,94.6,7.5,W4,8-2,True
3,BOS,56,26,0.6829999999999999,6,33-8,23-18,13-3,37-15,96.5,91.1,5.4,W1,5-5,True
4,ORL,52,30,0.634,10,29-12,23-18,11-5,36-16,99.2,93.7,5.5,W2,6-4,True
5,ATL,44,38,0.537,18,24-17,20-21,9-7,31-21,95.0,95.8,-0.8,L6,4-6,True
6,NYK,42,40,0.512,20,23-18,19-22,10-6,28-24,106.5,105.7,0.8,L2,7-3,True
7,PHI,41,41,0.5,21,26-15,15-26,9-7,25-27,99.0,97.5,1.5,L2,4-6,True
8,IND,37,45,0.451,25,24-17,13-28,9-7,28-24,99.8,100.9,-1.1,L2,5-5,True
9,MIL,35,47,0.42700000000000005,27,22-19,13-28,6-10,26-26,91.9,92.7,-0.8,W3,6-4,False
10,CHO,34,48,0.415,28,21-20,13-28,4-12,22-30,93.3,97.3,-4.0,W2,4-6,False
11,DET,30,52,0.366,32,21-20,9-32,7-9,22-30,97.0,100.6,-3.6,W1,5-5,False
12,BRK,24,58,0.293,38,19-22,5-36,3-13,13-39,94.2,100.4,-6.2,L5,1-9,False
13,WAS,23,59,0.28,39,20-21,3-38,3-13,16-36,97.3,104.7,-7.4,L1,6-4,False
14,TOR,22,60,0.268,40,16-25,6-35,5-11,14-38,99.1,105.4,-6.3,L2,2-8,False
15,CLE,19,63,0.23199999999999998,43,12-29,7-34,3-13,15-37,95.5,104.5,-9.0,W2,5-5,False
