Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
Los Angeles Clippers,15,67,0.183,53,10-31,5-36,0-0,0-0,92.0,103.5,-11.5,W1,1-9,False
Golden State Warriors,19,62,0.235,48.5,12-28,7-34,0-0,0-0,95.6,103.9,-8.3,L3,2-8,False
Vancouver Grizzlies,21,60,0.259,46.5,12-29,9-31,0-0,0-0,93.9,99.6,-5.7,L7,2-8,False
Denver Nuggets,33,47,0.413,34,24-16,9-31,0-0,0-0,98.9,101.1,-2.2,W2,5-5,False
Houston Rockets,33,47,0.413,34,22-18,11-29,0-0,0-0,99.5,100.4,-0.9,L1,7-3,False
Dallas Mavericks,38,42,0.475,29,21-19,17-23,0-0,0-0,101.1,101.9,-0.8,W2,8-2,False
Los Angeles Lakers,67,13,0.838,-,36-5,31-8,0-0,0-0,100.8,91.9,8.9,W3,9-1,True
Utah Jazz,54,26,0.675,13,30-10,24-16,0-0,0-0,96.4,92.0,4.4,W1,6-4,True
Portland Trail Blazers,59,22,0.728,8.5,30-10,29-12,0-0,0-0,97.5,91.0,6.5,W3,7-3,True
San Antonio Spurs,52,29,0.642,15.5,30-10,22-19,0-0,0-0,96.1,90.1,6.0,W2,6-4,True
Phoenix Suns,52,28,0.65,15,32-8,20-20,0-0,0-0,98.9,93.6,5.3,L1,7-3,True
Minnesota Timberwolves,50,31,0.617,17.5,26-14,24-17,0-0,0-0,98.4,95.8,2.6,W1,6-4,True
Seattle SuperSonics,44,37,0.5429999999999999,23.5,24-17,20-20,0-0,0-0,98.8,98.0,0.8,L1,4-6,True
Sacramento Kings,44,36,0.55,23,30-10,14-26,0-0,0-0,105.1,101.9,3.2,L2,3-7,True
