Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,GSW,73,9,0.89,-,39-2,34-7,15-1,46-6,114.9,104.1,10.8,W4,8-2,True
2,SAS,67,15,0.8170000000000001,6,40-1,27-14,14-2,43-9,103.5,92.9,10.6,W2,6-4,True
3,OKC,55,27,0.6709999999999999,18,32-9,23-18,13-3,37-15,110.2,102.9,7.3,L1,5-5,True
4,LAC,53,29,0.6459999999999999,20,29-12,24-17,9-7,31-21,104.5,100.2,4.3,L1,8-2,True
5,POR,44,38,0.537,29,28-13,16-25,11-5,29-23,105.1,104.3,0.8,W1,7-3,True
6,DAL,42,40,0.512,31,23-18,19-22,7-9,27-25,102.3,102.6,-0.3,L1,7-3,True
7,MEM,42,40,0.512,31,26-15,16-25,7-9,25-27,99.1,101.3,-2.2,L4,1-9,True
8,HOU,41,41,0.5,32,23-18,18-23,8-8,28-24,106.5,106.4,0.1,W3,6-4,True
9,UTA,40,42,0.488,33,24-17,16-25,8-8,24-28,97.7,95.9,1.8,L2,5-5,False
10,SAC,33,49,0.402,40,18-23,15-26,8-8,19-33,106.6,109.1,-2.5,L1,5-5,False
11,DEN,33,49,0.402,40,18-23,15-26,4-12,18-34,101.9,105.0,-3.1,L2,3-7,False
12,NOP,30,52,0.366,43,21-20,9-32,4-12,20-32,102.7,106.5,-3.8,L3,4-6,False
13,MIN,29,53,0.354,44,14-27,15-26,4-12,18-34,102.4,106.0,-3.6,W1,5-5,False
14,PHO,23,59,0.28,50,14-27,9-32,6-10,17-35,100.9,107.5,-6.6,W1,3-7,False
15,LAL,17,65,0.207,56,12-29,5-36,2-14,8-44,97.3,106.9,-9.6,W1,2-8,False
