Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,GSW,67,15,0.8170000000000001,-,36-5,31-10,14-2,42-10,115.9,104.3,11.6,W1,9-1,True
2,SAS,61,21,0.7440000000000001,6,31-10,30-11,11-5,36-16,105.3,98.1,7.2,L3,5-5,True
3,HOU,55,27,0.6709999999999999,12,30-11,25-16,10-6,36-16,115.3,109.6,5.7,W1,5-5,True
4,LAC,51,31,0.622,16,29-12,22-19,10-6,31-21,108.7,104.4,4.3,W7,8-2,True
5,UTA,51,31,0.622,16,29-12,22-19,8-8,31-21,100.7,96.8,3.9,W2,7-3,True
6,OKC,47,35,0.573,20,28-13,19-22,10-6,29-23,106.6,105.8,0.8,L1,6-4,True
7,MEM,43,39,0.524,24,24-17,19-22,8-8,28-24,100.5,100.0,0.5,L2,3-7,True
8,POR,41,41,0.5,26,25-16,16-25,11-5,28-24,107.9,108.5,-0.6,L1,7-3,True
9,DEN,40,42,0.488,27,22-19,18-23,6-10,24-28,111.7,111.2,0.5,W2,5-5,False
10,NOP,34,48,0.415,33,21-20,13-28,6-10,20-32,104.3,106.4,-2.1,W1,4-6,False
11,DAL,33,49,0.402,34,21-20,12-29,5-11,19-33,97.9,100.8,-2.9,W1,2-8,False
12,SAC,32,50,0.39,35,17-24,15-26,7-9,21-31,102.8,106.7,-3.9,L1,5-5,False
13,MIN,31,51,0.37799999999999995,36,20-21,11-30,5-11,18-34,105.6,106.7,-1.1,L6,3-7,False
14,LAL,26,56,0.317,41,17-24,9-32,6-10,16-36,104.6,111.5,-6.9,L1,5-5,False
15,PHO,24,58,0.293,43,15-26,9-32,3-13,11-41,107.7,113.3,-5.6,L1,2-8,False
