Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,UTA,52,20,0.722,-,31-5,21-15,7-5,28-14,116.4,107.2,9.2,W2,7-3,True
2,PHO,51,21,0.708,1,27-9,24-12,7-5,30-12,115.3,109.5,5.8,W3,7-3,True
3,DEN,47,25,0.653,5,25-11,22-14,9-3,26-16,115.1,110.1,5.0,L1,6-4,True
4,LAC,47,25,0.653,5,26-10,21-15,9-3,27-15,114.0,107.8,6.2,L2,4-6,True
5,DAL,42,30,0.583,10,21-15,21-15,7-5,21-21,112.4,110.2,2.2,L1,8-2,True
6,POR,42,30,0.583,10,20-16,22-14,6-6,23-19,116.1,114.3,1.8,W1,8-2,True
7,LAL,42,30,0.583,10,21-15,21-15,4-8,25-17,109.5,106.8,2.7,W5,6-4,True
8,MEM,38,34,0.528,14,18-18,20-16,6-6,19-23,113.3,112.3,1.0,L1,6-4,True
9,GSW,39,33,0.542,13,25-11,14-22,5-7,25-17,113.7,112.7,1.0,W6,8-2,False
10,SAS,33,39,0.45799999999999996,19,14-22,19-17,6-6,17-25,111.1,112.8,-1.7,L4,2-8,False
11,NOP,31,41,0.431,21,18-18,13-23,6-6,18-24,114.6,114.9,-0.3,L4,4-6,False
12,SAC,31,41,0.431,21,16-20,15-21,5-7,18-24,113.7,117.4,-3.7,L3,6-4,False
13,MIN,23,49,0.319,29,13-23,10-26,5-7,15-27,112.1,117.7,-5.6,W1,5-5,False
14,OKC,22,50,0.306,30,10-26,12-24,3-9,12-30,105.0,115.6,-10.6,W1,1-9,False
15,HOU,17,55,0.23600000000000002,35,9-27,8-28,5-7,11-31,108.8,116.7,-7.9,L1,2-8,False
