Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
Chicago Bulls,17,63,0.213,37.5,12-28,5-35,0-0,0-0,84.7,94.0,-9.3,L3,3-7,False
Atlanta Hawks,27,53,0.33799999999999997,27.5,20-20,7-33,0-0,0-0,94.2,99.5,-5.2,W1,1-9,False
Washington Wizards,29,51,0.363,25.5,17-23,12-28,0-0,0-0,96.7,99.6,-2.9,L1,5-5,False
Cleveland Cavaliers,31,49,0.38799999999999996,23.5,22-18,9-31,0-0,0-0,96.9,100.3,-3.4,L1,4-6,False
New Jersey Nets,31,49,0.38799999999999996,23.5,22-18,9-31,0-0,0-0,97.7,98.7,-1.0,L9,1-9,False
Boston Celtics,33,47,0.413,21.5,25-15,8-32,0-0,0-0,99.0,100.5,-1.5,L1,3-7,False
Orlando Magic,40,41,0.494,15,25-15,15-26,0-0,0-0,100.0,99.4,0.6,L2,5-5,False
Indiana Pacers,55,26,0.679,-,35-5,20-21,0-0,0-0,101.2,96.8,4.4,W4,8-2,True
Miami Heat,51,29,0.638,3.5,32-8,19-21,0-0,0-0,94.6,91.6,3.0,W1,7-3,True
New York Knicks,49,31,0.613,5.5,32-8,17-23,0-0,0-0,92.1,90.4,1.7,L2,6-4,True
Philadelphia 76ers,48,33,0.593,7,29-12,19-21,0-0,0-0,94.8,93.5,1.3,L1,6-4,True
Charlotte Hornets,47,33,0.588,7.5,29-11,18-22,0-0,0-0,98.6,96.2,2.4,W5,8-2,True
Toronto Raptors,45,35,0.563,9.5,26-15,19-20,0-0,0-0,97.4,97.2,0.2,W2,5-5,True
Detroit Pistons,41,39,0.513,13.5,26-14,15-25,0-0,0-0,103.5,102.2,1.3,L2,5-5,True
Milwaukee Bucks,41,40,0.506,14,22-18,19-22,0-0,0-0,101.1,101.0,0.1,W2,7-3,True
