Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,SAS,62,20,0.7559999999999999,-,32-9,30-11,12-4,38-14,105.4,97.6,7.8,L2,6-4,True
2,OKC,59,23,0.72,3,34-7,25-16,11-5,36-16,106.2,99.8,6.4,W1,6-4,True
3,LAC,57,25,0.695,5,34-7,23-18,12-4,36-16,107.9,101.0,6.9,L1,7-3,True
4,HOU,54,28,0.659,8,33-8,21-20,11-5,31-21,107.7,103.1,4.6,L1,5-5,True
5,POR,54,28,0.659,8,31-10,23-18,13-3,31-21,106.7,102.8,3.9,W5,9-1,True
6,GSW,51,31,0.622,11,27-14,24-17,11-5,31-21,104.3,99.5,4.8,W2,6-4,True
7,MEM,50,32,0.61,12,27-14,23-18,4-12,29-23,96.1,94.6,1.5,W5,7-3,True
8,DAL,49,33,0.598,13,26-15,23-18,9-7,29-23,104.8,102.4,2.4,L1,6-4,True
9,PHO,48,34,0.585,14,26-15,22-19,8-8,28-24,105.2,102.6,2.6,W1,5-5,False
10,MIN,40,42,0.488,22,24-17,16-25,7-9,23-29,106.9,104.3,2.6,L3,4-6,False
11,DEN,36,46,0.439,26,22-19,14-27,5-11,20-32,104.4,106.5,-2.1,L2,4-6,False
12,NOP,34,48,0.415,28,22-19,12-29,4-12,15-37,99.7,102.4,-2.7,W2,2-8,False
13,SAC,28,54,0.341,34,17-24,11-30,3-13,15-37,100.5,103.4,-2.9,L1,3-7,False
14,LAL,27,55,0.32899999999999996,35,14-27,13-28,6-10,15-37,103.0,109.2,-6.2,W2,3-7,False
15,UTA,25,57,0.305,37,16-25,9-32,4-12,13-39,95.0,102.2,-7.2,W1,2-8,False
