Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,ATL,60,22,0.732,-,35-6,25-16,12-4,38-14,102.5,97.1,5.4,L3,5-5,True
2,CLE,53,29,0.6459999999999999,7,31-10,22-19,11-5,35-17,103.1,98.7,4.4,W2,7-3,True
3,CHI,50,32,0.61,10,27-14,23-18,8-8,33-19,100.8,97.8,3.0,W4,7-3,True
4,TOR,49,33,0.598,11,27-14,22-19,11-5,33-19,104.0,100.9,3.1,W1,7-3,True
5,WAS,46,36,0.561,14,29-12,17-24,10-6,30-22,98.5,97.8,0.7,L2,6-4,True
6,MIL,41,41,0.5,19,23-18,18-23,7-9,30-22,97.8,97.4,0.4,L1,5-5,True
7,BOS,40,42,0.488,20,21-20,19-22,12-4,28-24,101.4,101.2,0.2,W6,8-2,True
8,BRK,38,44,0.46299999999999997,22,19-22,19-22,10-6,24-28,98.0,100.9,-2.9,W1,6-4,True
9,IND,38,44,0.46299999999999997,22,23-18,15-26,8-8,28-24,97.3,97.0,0.3,L1,7-3,False
10,MIA,37,45,0.451,23,20-21,17-24,6-10,25-27,94.7,97.3,-2.6,W2,4-6,False
11,CHO,33,49,0.402,27,19-22,14-27,8-8,25-27,94.2,97.3,-3.1,L6,2-8,False
12,DET,32,50,0.39,28,18-23,14-27,6-10,23-29,98.5,99.5,-1.0,W1,4-6,False
13,ORL,25,57,0.305,35,13-28,12-29,4-12,15-37,95.7,101.4,-5.7,L4,3-7,False
14,PHI,18,64,0.22,42,12-29,6-35,2-14,12-40,92.0,101.0,-9.0,L10,0-10,False
15,NYK,17,65,0.207,43,10-31,7-34,5-11,11-41,91.9,101.2,-9.3,L1,3-7,False
