Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,DET,50,32,0.61,-,30-11,20-21,19-9,0-0,91.4,87.7,3.7,L1,4-6,True
2,BRK,49,33,0.598,1,33-8,16-25,16-8,0-0,95.4,90.1,5.3,L2,5-5,True
3,IND,48,34,0.585,2,32-9,16-25,19-9,0-0,96.8,93.3,3.5,W2,6-4,True
4,PHI,48,34,0.585,2,25-16,23-18,17-7,0-0,96.8,94.5,2.3,W1,5-5,True
5,NOP,47,35,0.573,3,29-12,18-23,17-11,0-0,93.9,91.8,2.1,W5,7-3,True
6,BOS,44,38,0.537,6,25-16,19-22,13-12,0-0,92.7,93.0,-0.3,W2,6-4,True
7,MIL,42,40,0.512,8,25-16,17-24,16-12,0-0,99.5,99.3,0.2,W4,8-2,True
8,ORL,42,40,0.512,8,26-15,16-25,14-11,0-0,98.5,98.4,0.1,L2,4-6,True
9,WAS,37,45,0.451,13,23-18,14-27,11-13,0-0,91.5,92.5,-1.0,L3,3-7,False
10,NYK,37,45,0.451,13,24-17,13-28,9-15,0-0,95.9,97.2,-1.3,L1,5-5,False
11,ATL,35,47,0.42700000000000005,15,26-15,9-32,14-14,0-0,94.1,97.6,-3.5,L1,6-4,False
12,CHI,30,52,0.366,20,27-14,3-38,12-16,0-0,94.9,100.1,-5.2,W1,4-6,False
13,MIA,25,57,0.305,25,16-25,9-32,5-19,0-0,85.6,90.6,-5.0,W1,3-7,False
14,TOR,24,58,0.293,26,15-26,9-32,10-18,0-0,90.9,96.7,-5.8,L8,1-9,False
15,CLE,17,65,0.207,33,14-27,3-38,5-23,0-0,91.4,101.0,-9.6,W1,3-7,False
