Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,BOS,66,16,0.805,-,35-6,31-10,14-2,41-11,100.5,90.3,10.2,W4,9-1,True
2,DET,59,23,0.72,7,34-7,25-16,11-5,37-15,97.5,90.1,7.4,W4,8-2,True
3,ORL,52,30,0.634,14,25-16,27-14,12-4,38-14,104.5,99.0,5.5,W3,6-4,True
4,CLE,45,37,0.5489999999999999,21,27-14,18-23,7-9,28-24,96.4,96.7,-0.3,L1,5-5,True
5,WAS,43,39,0.524,23,25-16,18-23,10-6,29-23,98.8,99.2,-0.4,L1,5-5,True
6,TOR,41,41,0.5,25,25-16,16-25,10-6,29-23,100.2,97.3,2.9,L1,4-6,True
7,PHI,40,42,0.488,26,22-19,18-23,7-9,25-27,96.6,96.2,0.4,L4,3-7,True
8,ATL,37,45,0.451,29,25-16,12-29,9-7,24-28,98.2,100.0,-1.8,L3,5-5,True
9,IND,36,46,0.439,30,21-20,15-26,5-11,24-28,104.0,105.4,-1.4,W1,7-3,False
10,BRK,34,48,0.415,32,21-20,13-28,4-12,26-26,95.8,100.9,-5.1,L1,3-7,False
11,CHI,33,49,0.402,33,20-21,13-28,11-5,24-28,97.3,100.4,-3.1,W2,5-5,False
12,CHO,32,50,0.39,34,21-20,11-30,7-9,19-33,97.1,101.4,-4.3,W1,5-5,False
13,MIL,26,56,0.317,40,19-22,7-34,6-10,18-34,97.0,103.9,-6.9,L8,2-8,False
14,NYK,23,59,0.28,43,15-26,8-33,5-11,20-32,96.9,103.5,-6.6,L3,3-7,False
15,MIA,15,67,0.183,51,9-32,6-35,2-14,8-44,91.4,100.0,-8.6,W1,2-8,False
