Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,BOS,53,29,0.6459999999999999,-,30-11,23-18,11-5,36-16,108.0,105.4,2.6,W3,7-3,True
2,CLE,51,31,0.622,2,31-10,20-21,8-8,35-17,110.3,107.2,3.1,L4,4-6,True
3,TOR,51,31,0.622,2,28-13,23-18,14-2,34-18,106.9,102.6,4.3,W4,8-2,True
4,WAS,49,33,0.598,4,30-11,19-22,8-8,32-20,109.2,107.4,1.8,L1,5-5,True
5,ATL,43,39,0.524,10,23-18,20-21,6-10,30-22,103.2,104.0,-0.8,L1,6-4,True
6,MIL,42,40,0.512,11,23-18,19-22,10-6,27-25,103.6,103.8,-0.2,L1,5-5,True
7,IND,42,40,0.512,11,29-12,13-28,8-8,26-26,105.1,105.3,-0.2,W5,6-4,True
8,CHI,41,41,0.5,12,25-16,16-25,9-7,28-24,102.9,102.4,0.5,W2,7-3,True
9,MIA,41,41,0.5,12,23-18,18-23,9-7,27-25,103.2,102.1,1.1,W3,6-4,False
10,DET,37,45,0.451,16,24-17,13-28,5-11,21-31,101.3,102.5,-1.2,L2,3-7,False
11,CHO,36,46,0.439,17,22-19,14-27,10-6,22-30,104.9,104.7,0.2,L5,4-6,False
12,NYK,31,51,0.37799999999999995,22,19-22,12-29,5-11,22-30,104.3,108.0,-3.7,W1,4-6,False
13,ORL,29,53,0.354,24,16-25,13-28,7-9,20-32,101.1,107.6,-6.5,W1,3-7,False
14,PHI,28,54,0.341,25,17-24,11-30,7-9,19-33,102.4,108.1,-5.7,L8,1-9,False
15,BRK,20,62,0.244,33,13-28,7-34,3-13,11-41,105.8,112.5,-6.7,L2,5-5,False
