Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
GSW,17,65,0.207,41,11-30,6-35,0-0,0-0,92.5,101.5,-9.0,L13,0-10,False
MEM,23,59,0.28,35,15-26,8-33,0-0,0-0,91.7,97.5,-5.8,W1,3-7,False
LAC,31,51,0.37799999999999995,27,22-19,9-32,0-0,0-0,92.5,95.3,-2.8,L1,5-5,False
DEN,40,42,0.488,18,29-12,11-30,0-0,0-0,96.6,99.0,-2.4,W1,6-4,False
OKC,44,38,0.537,14,26-15,18-23,0-0,0-0,97.3,97.3,0.0,W1,6-4,False
HOU,45,37,0.5489999999999999,13,24-17,21-20,0-0,0-0,97.2,94.9,2.3,W3,6-4,False
SAS,58,24,0.7070000000000001,-,33-8,25-16,0-0,0-0,96.2,88.4,7.8,L1,7-3,True
LAL,56,26,0.6829999999999999,2,31-10,25-16,0-0,0-0,100.6,97.2,3.4,W8,9-1,True
SAC,55,27,0.6709999999999999,3,33-8,22-19,0-0,0-0,101.7,95.9,5.8,L1,6-4,True
UTA,53,29,0.6459999999999999,5,28-13,25-16,0-0,0-0,97.1,92.4,4.7,L1,5-5,True
DAL,53,29,0.6459999999999999,5,28-13,25-16,0-0,0-0,100.5,96.2,4.3,W4,7-3,True
PHO,51,31,0.622,7,31-10,20-21,0-0,0-0,94.0,91.8,2.2,W1,6-4,True
POR,50,32,0.61,8,28-13,22-19,0-0,0-0,95.4,91.2,4.2,L3,3-7,True
MIN,47,35,0.573,11,30-11,17-24,0-0,0-0,97.3,96.0,1.3,L2,5-5,True
