Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,SAS,50,16,0.758,-,28-5,22-11,12-4,35-13,103.7,96.5,7.2,W10,10-0,True
2,OKC,47,19,0.7120000000000001,3,26-7,21-12,10-3,34-14,103.1,96.9,6.2,L1,6-4,True
3,LAL,41,25,0.621,9,26-7,15-18,9-5,32-16,97.3,95.9,1.4,L1,6-4,True
4,MEM,41,25,0.621,9,26-7,15-18,7-8,26-22,95.0,93.0,2.0,W6,8-2,True
5,LAC,40,26,0.606,10,24-9,16-17,7-7,29-19,97.5,95.0,2.5,L2,6-4,True
6,DEN,38,28,0.5760000000000001,12,20-13,18-15,6-7,22-26,104.1,101.2,2.9,W4,8-2,True
7,DAL,36,30,0.545,14,23-10,13-20,8-5,26-22,95.8,94.8,1.0,L2,5-5,True
8,UTA,36,30,0.545,14,25-8,11-22,9-4,25-23,99.7,99.0,0.7,W5,7-3,True
9,HOU,34,32,0.515,16,22-11,12-21,6-8,23-25,98.1,97.9,0.2,W1,3-7,False
10,PHO,33,33,0.5,17,19-14,14-19,9-5,23-25,98.4,98.6,-0.2,L3,4-6,False
11,POR,28,38,0.424,22,20-13,8-25,4-10,20-28,97.2,97.8,-0.6,L7,1-9,False
12,MIN,26,40,0.39399999999999996,24,13-20,13-20,4-9,19-29,97.9,100.1,-2.2,L2,1-9,False
13,GSW,23,43,0.348,27,12-21,11-22,7-8,16-32,97.8,101.2,-3.4,L2,1-9,False
14,SAC,22,44,0.33299999999999996,28,16-17,6-27,3-10,16-32,98.8,104.4,-5.6,W1,3-7,False
15,NOP,21,45,0.318,29,11-22,10-23,3-11,14-34,89.6,93.4,-3.8,L1,6-4,False
