Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,CLE,66,16,0.805,-,39-2,27-14,13-3,40-12,100.3,91.4,8.9,L1,7-3,True
2,BOS,62,20,0.7559999999999999,4,35-6,27-14,15-1,41-11,100.9,93.4,7.5,W2,8-2,True
3,ORL,59,23,0.72,7,32-9,27-14,14-2,37-15,101.0,94.4,6.6,W1,5-5,True
4,ATL,47,35,0.573,19,31-10,16-25,11-5,30-22,98.1,96.5,1.6,L1,5-5,True
5,MIA,43,39,0.524,23,28-13,15-26,9-7,28-24,98.3,98.0,0.3,W1,5-5,True
6,PHI,41,41,0.5,25,24-17,17-24,6-10,25-27,97.4,97.3,0.1,W1,4-6,True
7,CHI,41,41,0.5,25,28-13,13-28,9-7,24-28,102.2,102.5,-0.3,L1,7-3,True
8,DET,39,43,0.47600000000000003,27,21-20,18-23,7-9,26-26,94.2,94.7,-0.5,L3,4-6,True
9,IND,36,46,0.439,30,25-16,11-30,7-9,23-29,105.1,106.2,-1.1,W1,6-4,False
10,CHO,35,47,0.42700000000000005,31,23-18,12-29,5-11,20-32,93.6,94.9,-1.3,L4,3-7,False
11,BRK,34,48,0.415,32,19-22,15-26,8-8,23-29,98.1,100.5,-2.4,L1,4-6,False
12,MIL,34,48,0.415,32,22-19,12-29,4-12,21-31,99.3,100.4,-1.1,L1,3-7,False
13,TOR,33,49,0.402,33,18-23,15-26,6-10,22-30,99.0,101.9,-2.9,W3,6-4,False
14,NYK,32,50,0.39,34,20-21,12-29,5-11,20-32,105.2,107.8,-2.6,W1,3-7,False
15,WAS,19,63,0.23199999999999998,47,13-28,6-35,1-15,10-42,96.1,103.5,-7.4,L2,3-7,False
