Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,GSW,67,15,0.8170000000000001,-,39-2,28-13,13-3,42-10,110.0,99.9,10.1,W4,8-2,True
2,HOU,56,26,0.6829999999999999,11,30-11,26-15,8-8,33-19,103.9,100.5,3.4,W3,7-3,True
3,LAC,56,26,0.6829999999999999,11,30-11,26-15,12-4,37-15,106.7,100.1,6.6,W7,9-1,True
4,POR,51,31,0.622,16,32-9,19-22,11-5,31-21,102.8,98.6,4.2,L4,4-6,True
5,MEM,55,27,0.6709999999999999,12,31-10,24-17,9-7,35-17,98.3,95.1,3.2,W1,5-5,True
6,SAS,55,27,0.6709999999999999,12,33-8,22-19,8-8,32-20,103.2,97.0,6.2,L1,9-1,True
7,DAL,50,32,0.61,17,27-14,23-18,7-9,29-23,105.2,102.3,2.9,W1,5-5,True
8,NOP,45,37,0.5489999999999999,22,28-13,17-24,8-8,29-23,99.4,98.6,0.8,W2,7-3,True
9,OKC,45,37,0.5489999999999999,22,29-12,16-25,10-6,25-27,104.0,101.8,2.2,W2,4-6,False
10,PHO,39,43,0.47600000000000003,28,22-19,17-24,6-10,21-31,102.4,103.3,-0.9,L5,1-9,False
11,UTA,38,44,0.46299999999999997,29,21-20,17-24,9-7,23-29,95.1,94.9,0.2,L1,7-3,False
12,DEN,30,52,0.366,37,19-22,11-30,6-10,19-33,101.5,105.0,-3.5,L2,3-7,False
13,SAC,29,53,0.354,38,18-23,11-30,7-9,18-34,101.3,105.0,-3.7,W2,3-7,False
14,LAL,21,61,0.256,46,12-29,9-32,2-14,9-43,98.5,105.3,-6.8,L3,2-8,False
15,MIN,16,66,0.195,51,9-32,7-34,4-12,7-45,97.8,106.5,-8.7,L12,0-10,False
