Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,IND,61,21,0.7440000000000001,-,34-7,27-14,20-8,41-13,91.4,85.6,5.8,W5,8-2,True
2,BRK,47,35,0.573,14,28-13,19-22,18-7,34-20,90.3,87.8,2.5,L2,5-5,True
3,DET,54,28,0.659,7,31-10,23-18,17-11,37-17,90.1,84.3,5.8,L1,8-2,True
4,MIA,42,40,0.512,19,29-12,13-28,15-10,30-24,90.3,89.7,0.6,W2,7-3,True
5,NOP,41,41,0.5,20,25-16,16-25,14-14,30-24,91.8,91.9,-0.1,W1,4-6,True
6,MIL,41,41,0.5,20,27-14,14-27,15-13,33-21,98.0,97.0,1.0,L3,5-5,True
7,NYK,39,43,0.47600000000000003,22,23-18,16-25,17-7,31-23,92.0,93.5,-1.5,L1,6-4,True
8,BOS,36,46,0.439,25,19-22,17-24,14-10,24-30,95.3,96.7,-1.4,W1,4-6,True
9,CLE,35,47,0.42700000000000005,26,23-18,12-29,14-14,29-25,92.9,95.5,-2.6,W3,3-7,False
10,TOR,33,49,0.402,28,18-23,15-26,11-17,22-32,85.4,88.5,-3.1,W2,3-7,False
11,PHI,33,49,0.402,28,21-20,12-29,10-14,23-31,88.0,90.5,-2.5,L4,3-7,False
12,ATL,28,54,0.341,33,18-23,10-31,10-18,19-35,92.8,97.5,-4.7,L1,5-5,False
13,WAS,25,57,0.305,36,17-24,8-33,3-21,16-38,91.8,97.4,-5.6,L3,2-8,False
14,CHI,23,59,0.28,38,14-27,9-32,11-17,19-35,89.7,96.0,-6.3,L2,3-7,False
15,ORL,21,61,0.256,40,11-30,10-31,8-16,17-37,94.0,101.1,-7.1,W2,2-8,False
