Rank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10,Made_Playoffs
1,MIN,58,24,0.7070000000000001,-,31-10,27-14,14-10,34-18,94.5,89.1,5.4,W9,9-1,True
2,LAL,56,26,0.6829999999999999,2,34-7,22-19,15-9,31-21,98.2,94.3,3.9,W2,7-3,True
3,SAS,57,25,0.695,1,33-8,24-17,15-9,35-17,91.5,84.3,7.2,W11,10-0,True
4,SAC,55,27,0.6709999999999999,3,34-7,21-20,16-8,31-21,102.8,97.8,5.0,L2,4-6,True
5,DAL,52,30,0.634,6,36-5,16-25,14-10,33-19,105.2,100.8,4.4,W2,8-2,True
6,MEM,50,32,0.61,8,31-10,19-22,12-12,28-24,96.7,94.3,2.4,L4,4-6,True
7,HOU,45,37,0.5489999999999999,13,27-14,18-23,8-16,21-31,89.8,88.0,1.8,L1,3-7,True
8,DEN,43,39,0.524,15,29-12,14-27,11-13,29-23,97.2,96.1,1.1,L1,6-4,True
9,UTA,42,40,0.512,16,28-13,14-27,10-14,25-27,88.7,89.9,-1.2,L2,5-5,False
10,POR,41,41,0.5,17,25-16,16-25,13-11,22-30,90.7,92.0,-1.3,L4,4-6,False
11,GSW,37,45,0.451,21,27-14,10-31,12-12,23-29,93.3,94.0,-0.7,W1,5-5,False
12,OKC,37,45,0.451,21,21-20,16-25,11-13,22-30,97.1,97.8,-0.7,W1,3-7,False
13,PHO,29,53,0.354,29,18-23,11-30,9-15,16-36,94.2,97.9,-3.7,W1,5-5,False
14,LAC,28,54,0.341,30,18-23,10-31,8-16,14-38,94.8,99.4,-4.6,L1,1-9,False
