Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
PF,3.8967066233421614,23.79013318016785,30.930753856874155,8.799089207677037,2.3749660220354873,4.795348156470948,0.08247846507087735,0.617992632332313,1.6311380757533842,0.15414639613110434,2.241088861092901,4.371113567340595,0.08311880756009903,0.08146136561184089,1.4419409589173058,1.8306632971419943,0.13167655857213487,0.8656283440433304,1.8635040264080374,2.563877330389569,1.0718499251472071,0.3646317690323788,0.4760607299379204,0.6525511997606552,0.6867861763021197,6.312914827321947,5.169869637782807,0.08142830921045485,0.21058290188576406,0.19476837652124424,3.377205057108668,4.2489121195110755,3.0747729092485923,5.131062115415368,0.7389575296883378,1.4169087688085424,5.134177904471098,5.341254429455612,2.4155371470641027,1.2369588470315898,3.3536138185391864,0.06367972951205027,3.0025774668722316,1.0786090748710477,3.3363141580573914,1.578434593854705,5387544.506602074
SG,4.683402334387106,26.519452975855554,29.43680931375305,10.105722621513523,2.092573383739895,4.510465059115852,0.07196309285094175,0.737481666159093,1.774015415116032,0.1009477026605295,1.6648372798315252,3.3832795033842236,0.08766528170354339,0.08482423294701519,1.4216821719427317,1.7046773162317987,0.13867957913117257,0.2933453342879597,1.0061100465369455,1.2351197480727156,1.3820203319849538,0.4153681416157321,0.15807004337907096,0.835832424343635,0.6828768498632881,5.950836533256862,5.637835235142462,0.08541329921720808,0.17471136083254687,0.15749187940718695,1.709294336477153,4.196924852534506,2.46616670519691,6.845767356043391,0.8600610155652035,0.5285099547569826,5.842168490660581,5.099691506880248,1.9195523405520394,0.9878138679041527,2.61852993297785,0.10403418706948171,3.644921599341546,1.302314770850825,4.043896758091013,1.02430657539432,3953462.83918828
PG,4.299778889107209,23.440024465047486,30.229654495940107,8.913450387544518,1.9794871449557694,4.379515336514229,0.052744897510624576,0.6497984534421112,1.6197346559474346,0.10380383280262036,1.5979950673560035,3.314830085420976,0.07555002962768571,0.06294888052624548,1.4308583707532283,1.7370261707644639,0.12532482179567692,0.2797228450467349,1.0299774877010652,1.2340633892553536,2.363351048950315,0.5042202198402592,0.1369843271412936,0.9038124147105703,0.6595318158680982,5.698664254174459,4.895346907077095,0.0682500923266714,0.14771514023247165,0.11607144363434004,1.0762254809795728,2.2964532815667305,1.3653284407152704,8.83523755813155,1.2221933144752577,0.35405796862044897,6.260340939042427,4.776726093790872,2.3524836251430847,1.089029990454551,3.1690865307095173,0.0746977090868124,2.919110109326018,1.5946267504730423,3.5972996788535934,1.4640927960543613,4456389.0001056
SF,4.109026755473001,26.52397128319172,29.75370941049553,9.664429660248699,1.9179619002673627,4.130220248152103,0.07714968072702692,0.6322335788659235,1.5810708673931408,0.1184233096461948,1.5517304290892167,3.1155573126522738,0.09375185014971686,0.09282801108317112,1.28777654158345,1.547703094401847,0.1473518369697638,0.46254326492753584,1.4538239806340612,1.7849268376573522,1.1999556826611877,0.4456761077087892,0.2726393897478962,0.7221427362917582,0.733840534329197,5.413893757180231,4.7904876505241685,0.09318831011568594,0.18021764868030177,0.1190459160289856,2.3478508276234096,4.6065152182686155,2.702336342968121,5.009322777879506,0.7789493317305748,1.0272066533915802,10.044555946713956,5.124348054382737,1.9589829083194474,1.1818691522255986,2.8691431571360035,0.0635989041889488,2.641042250072245,1.2465513831676547,3.299994019133336,1.3542655159603298,4240400.219319884
C,4.0967972443182,23.559686071877078,28.659930330032562,8.884336071188548,2.125963152640073,4.09733061275597,0.0859495307670755,0.2491096146416739,0.7180585812936667,0.22936831283284356,2.1063656527372627,4.010689739173057,0.08314023444317743,0.08335640685646374,1.1847241187875746,1.6738088081447466,0.17795142207448375,0.9678361239887782,2.2406758298078175,3.043051602915383,0.9514574703209058,0.3132381685350813,0.5425247146675689,0.6528779869659738,0.6998395966981691,5.309899315471409,4.9353770953165395,0.06280812419676522,0.12086719644589565,0.6341280546824631,3.129156845032318,6.067679636137715,3.7193369015775546,4.832973928696052,0.6124433648649218,1.6812709516406905,5.5964162072832835,5.3042880576929665,1.6681602503026065,1.4267108592735225,2.8406705632410008,0.057099052452426774,2.629964279046723,1.203117886586483,3.0426852790856995,1.0893901582386123,5450173.072288258
