Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
SF,26.01492537313433,57.940298507462686,28.253731343283583,20.835820895522385,4.15820895522388,8.698507462686564,0.4527462686567163,0.08059701492537309,0.30895522388059704,0.18786885245901644,4.076119402985074,8.382089552238803,0.46067164179104453,0.45825373134328357,2.216417910447761,2.9089552238805982,0.7067076923076924,1.3014925373134325,2.2194029850746264,3.5104477611940297,1.8134328358208955,0.744776119402985,0.31044776119403,1.5014925373134336,2.12089552238806,10.626865671641788,12.082089552238806,0.49847761194029866,0.0425373134328358,0.32864179104477603,6.916417910447761,11.049253731343285,8.997014925373133,11.07910447761194,1.6686567164179111,0.8089552238805972,13.483582089552236,21.58955223880597,1.898507462686568,1.3119402985074626,3.21044776119403,0.04938805970149257,-1.6029850746268657,-0.9223880597014926,-2.5223880597014925,0.8835820895522383,
SG,26.081967213114755,59.98360655737705,30.098360655737704,21.01639344262295,4.118032786885245,8.762295081967213,0.45162295081967213,0.14426229508196717,0.5049180327868853,0.21192982456140352,3.975409836065573,8.263934426229508,0.4618196721311475,0.46126229508196714,1.9278688524590166,2.436065573770492,0.7773606557377051,0.785245901639344,1.4737704918032786,2.255737704918033,2.5098360655737713,0.8999999999999999,0.19999999999999987,1.4508196721311475,1.9770491803278685,10.31475409836066,13.280327868852458,0.5054590163934427,0.0666065573770492,0.2716393442622951,4.083606557377049,7.834426229508196,5.959016393442623,16.32622950819672,2.0278688524590165,0.47377049180327874,13.578688524590161,21.38032786885246,1.4967213114754097,1.1754098360655731,2.6770491803278693,0.06754098360655741,-0.8950819672131147,-0.31475409836065577,-1.2098360655737708,0.6688524590163937,
PG,26.448275862068964,60.258620689655174,31.137931034482758,22.68448275862069,3.598275862068965,7.736206896551724,0.453293103448276,0.17068965517241372,0.6172413793103446,0.22996363636363631,3.4189655172413786,7.113793103448274,0.4694999999999999,0.46420689655172426,1.931034482758621,2.448275862068965,0.7809122807017544,0.5637931034482758,1.5517241379310345,2.1275862068965514,4.76551724137931,1.1620689655172411,0.11551724137931031,1.813793103448276,1.9603448275862068,9.287931034482757,13.686206896551726,0.512551724137931,0.0799655172413793,0.30918965517241387,2.5551724137931044,7.329310344827585,4.94310344827586,27.953448275862065,2.368965517241379,0.2810344827586207,17.349999999999998,18.646551724137936,1.7724137931034483,1.3482758620689657,3.1189655172413784,0.07293103448275859,-0.29827586206896534,0.01379310344827592,-0.2793103448275861,1.0999999999999999,
PF,25.850746268656717,59.64179104477612,25.253731343283583,20.688059701492534,3.401492537313434,6.822388059701493,0.4862835820895523,0.013432835820895524,0.0791044776119403,0.11838461538461538,3.3850746268656726,6.728358208955223,0.48940298507462704,0.48738805970149257,1.9104477611940294,2.7373134328358195,0.6847424242424242,1.7686567164179106,3.598507462686566,5.370149253731343,1.2820895522388056,0.6298507462686568,0.5208955223880599,1.5492537313432833,2.620895522388061,8.722388059701494,12.832835820895523,0.5325671641791043,0.011134328358208958,0.4378805970149253,10.60597014925373,18.316417910447758,14.51194029850746,7.48358208955224,1.8044776119402988,1.3373134328358212,16.489552238805963,18.73283582089552,1.0746268656716413,1.6208955223880597,2.6791044776119404,0.07288059701492537,-1.8731343283582094,-0.0791044776119403,-1.9641791044776118,0.3597014925373134,
C,27.463768115942027,56.98550724637681,30.420289855072465,20.008695652173913,3.2782608695652176,6.5927536231884085,0.4733676470588235,0.0,0.02753623188405798,0.07169444444444445,3.276811594202899,6.56521739130435,0.4752941176470587,0.4735294117647059,1.9231884057971005,2.705797101449276,0.6742835820895524,1.6028985507246378,3.6376811594202896,5.240579710144926,1.139130434782609,0.47971014492753644,1.0217391304347827,1.4710144927536228,2.655072463768115,8.484057971014494,11.973913043478264,0.5237971014492755,0.004647058823529413,0.4213088235294119,9.018840579710144,19.094202898550726,14.072463768115945,7.175362318840578,1.0565217391304347,2.724637681159419,17.41594202898551,17.862318840579714,1.2057971014492763,1.7202898550724643,2.9231884057971014,0.0701449275362319,-2.6869565217391305,0.23768115942028994,-2.449275362318841,0.6246376811594202,
