Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
SG,26.44705882352941,55.51764705882353,25.28235294117647,23.131764705882357,3.6505882352941197,8.445882352941178,0.4206941176470589,1.0141176470588231,2.776470588235295,0.3522705882352941,2.641176470588236,5.657647058823528,0.45414117647058827,0.48223529411764715,1.7917647058823531,2.2094117647058824,0.7946470588235293,0.5270588235294117,2.0682352941176476,2.5964705882352948,2.0188235294117645,0.7505882352941177,0.22705882352941179,1.2670588235294122,1.7199999999999995,10.103529411764706,12.482352941176472,0.5224941176470588,0.3475529411764706,0.25036470588235316,2.8835294117647057,10.383529411764707,6.637647058823529,13.203529411764707,1.7105882352941173,0.7564705882352942,12.554117647058822,20.205882352941178,1.5235294117647062,1.157647058823529,2.678823529411763,0.06698823529411764,-0.881176470588235,-0.27058823529411763,-1.1623529411764708,0.7682352941176473,4160890.4594594594
SF,26.358974358974358,58.6025641025641,33.12820512820513,23.893589743589747,3.5217948717948717,8.002564102564103,0.4295128205128205,0.7987179487179488,2.2346153846153842,0.32821917808219175,2.723076923076923,5.769230769230769,0.464272727272727,0.4802820512820513,1.7743589743589736,2.275641025641025,0.7548441558441555,0.8615384615384614,2.793589743589744,3.6487179487179495,1.6423076923076922,0.7294871794871797,0.3846153846153847,1.1666666666666667,1.8692307692307695,9.628205128205126,12.301282051282053,0.5167820512820512,0.29994871794871786,0.25379487179487176,4.467948717948717,13.544871794871796,9.007692307692308,9.948717948717952,1.5615384615384613,1.2525641025641028,11.411538461538466,18.352564102564102,1.537179487179487,1.476923076923077,3.0153846153846158,0.07357692307692308,-1.053846153846154,-0.12692307692307692,-1.1743589743589744,0.8333333333333337,4390610.942028985
PG,26.85542168674699,55.975903614457835,29.240963855421686,22.73373493975903,3.1951807228915663,7.518072289156629,0.41180722891566274,0.7421686746987951,2.0638554216867466,0.33017283950617277,2.456626506024096,5.4554216867469885,0.4263614457831325,0.46396385542168667,1.736144578313253,2.143373493975903,0.7873950617283951,0.44096385542168687,1.8734939759036144,2.306024096385543,3.8168674698795173,0.8289156626506026,0.12891566265060234,1.497590361445783,1.6987951807228912,8.860240963855423,12.86987951807229,0.5094939759036143,0.29137349397590373,0.2655783132530121,2.1313253012048192,9.380722891566261,5.743373493975905,25.35542168674699,1.8927710843373504,0.4289156626506023,15.748192771084343,19.313253012048197,1.5987951807228917,1.2216867469879515,2.8228915662650595,0.06685542168674702,-0.9144578313253012,-0.2518072289156626,-1.1566265060240966,0.8084337349397593,3877105.5263157897
PF,26.441860465116278,53.05813953488372,26.25581395348837,20.929069767441852,3.3395348837209307,7.073255813953494,0.46381395348837207,0.37558139534883717,1.0151162790697672,0.2642857142857143,2.9662790697674417,6.051162790697674,0.4779883720930233,0.48817441860465105,1.6616279069767432,2.2406976744186053,0.7110476190476189,1.446511627906976,3.408139534883721,4.856976744186046,1.0639534883720927,0.5825581395348837,0.5325581395348841,1.1104651162790697,2.1895348837209307,8.720930232558139,13.906976744186046,0.5259651162790699,0.1340348837209302,0.32638372093023266,8.703488372093023,18.646511627906985,13.667441860465123,7.48720930232558,1.4360465116279069,2.0499999999999994,12.849999999999996,18.774418604651164,1.4337209302325582,1.5069767441860469,2.948837209302325,0.09267441860465114,-1.3034883720930235,-0.1511627906976744,-1.453488372093023,0.5883720930232559,4518376.756410256
C,26.86315789473684,52.55789473684211,27.378947368421052,19.345263157894745,2.8757894736842093,5.638947368421053,0.49569473684210513,0.06526315789473683,0.18842105263157885,0.14996363636363638,2.8063157894736825,5.446315789473683,0.49976842105263153,0.5007157894736841,1.451578947368421,2.1273684210526302,0.6565698924731184,1.7336842105263162,3.5021052631578975,5.233684210526316,0.8673684210526318,0.40947368421052655,0.9147368421052631,1.0578947368421052,2.2663157894736847,7.264210526315789,14.141052631578953,0.5326421052631579,0.031231578947368423,0.3865894736842106,10.845263157894738,20.373684210526317,15.591578947368422,6.305263157894739,1.0915789473684205,3.88421052631579,14.767368421052629,17.193684210526314,1.4799999999999995,1.521052631578947,2.9999999999999987,0.09650526315789476,-1.9873684210526315,0.22736842105263175,-1.7589473684210526,0.5231578947368419,4377802.609756097
