Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
SF,27.49425287356322,54.3448275862069,26.885057471264368,21.194252873563215,3.3114942528735636,7.5310344827586215,0.4151149425287355,0.4689655172413792,1.374712643678161,0.2964871794871794,2.8436781609195405,6.149425287356321,0.43050574712643686,0.44680459770114944,1.842528735632184,2.456321839080461,0.7319878048780486,1.050574712643678,2.2689655172413796,3.3229885057471256,1.5793103448275856,0.774712643678161,0.3402298850574712,1.2839080459770116,1.9471264367816092,8.943678160919534,12.747126436781615,0.4920114942528735,0.19074712643678154,0.33357471264367833,6.325287356321838,12.38850574712644,9.36206896551724,10.851724137931031,2.07816091954023,1.1724137931034484,13.739080459770115,20.754022988505742,1.57816091954023,1.2781609195402297,2.8482758620689657,0.06719540229885061,-1.3413793103448277,-0.3459770114942529,-1.6839080459770115,0.7701149425287361,
SG,27.7,48.05555555555556,25.266666666666666,21.05444444444444,3.1133333333333315,7.327777777777775,0.4129111111111111,0.6766666666666667,1.9200000000000004,0.31004545454545457,2.4288888888888893,5.407777777777779,0.43843333333333334,0.45778888888888863,1.5744444444444445,2.006666666666667,0.7514204545454544,0.6233333333333334,1.6666666666666667,2.2922222222222217,1.8922222222222234,0.7922222222222222,0.19111111111111098,1.1977777777777785,1.691111111111112,8.468888888888891,12.156666666666668,0.5008333333333335,0.2607555555555556,0.2751444444444443,4.128888888888889,9.271111111111113,6.691111111111113,14.272222222222217,2.088888888888888,0.6188888888888887,13.838888888888892,19.968888888888895,1.4522222222222234,0.9988888888888892,2.4555555555555557,0.062444444444444455,-1.2688888888888894,-0.2455555555555556,-1.504444444444445,0.6699999999999999,
PF,27.731182795698924,51.24731182795699,23.107526881720432,20.223655913978497,2.938709677419354,6.2763440860215045,0.46492391304347824,0.11182795698924732,0.3634408602150539,0.17768055555555556,2.8236559139784942,5.911827956989244,0.4725000000000001,0.47506521739130453,1.6741935483870967,2.3763440860215046,0.6689101123595507,1.6344086021505373,3.191397849462367,4.832258064516128,1.1150537634408608,0.6172043010752688,0.5064516129032259,1.2107526881720432,2.2548387096774203,7.660215053763438,13.198924731182796,0.5136630434782608,0.06356521739130433,0.38169565217391305,9.766666666666666,17.326881720430105,13.56451612903226,8.055913978494626,1.6946236559139782,1.930107526881721,15.080434782608696,18.420430107526883,1.3956989247311828,1.4956989247311825,2.896774193548387,0.08398924731182794,-1.8473118279569898,-0.24731182795698922,-2.0946236559139786,0.5408602150537634,
PG,27.25,56.11904761904762,26.86904761904762,21.02976190476191,2.7809523809523813,6.629761904761905,0.41134523809523804,0.5142857142857145,1.5559523809523808,0.284277108433735,2.2559523809523805,5.082142857142857,0.44449999999999995,0.449607142857143,1.492857142857143,1.9083333333333334,0.7771445783132528,0.4726190476190479,1.5654761904761905,2.0261904761904765,3.729761904761903,0.9380952380952391,0.1273809523809523,1.5702380952380952,1.6690476190476196,7.56309523809524,12.940476190476195,0.49858333333333343,0.23664285714285718,0.3074880952380953,2.463095238095239,8.251190476190477,5.3666666666666645,27.382142857142856,2.3440476190476183,0.4249999999999999,18.70952380952381,19.05952380952381,1.5059523809523805,1.1738095238095234,2.6809523809523808,0.06707142857142857,-0.9214285714285715,0.00476190476190474,-0.9226190476190472,0.8392857142857147,
C,28.094117647058823,53.65882352941176,29.988235294117647,19.07529411764705,2.7929411764705874,5.830588235294119,0.4549404761904762,0.021176470588235297,0.0941176470588235,0.07976744186046511,2.7717647058823527,5.732941176470588,0.4583333333333334,0.4563571428571428,1.545882352941177,2.338823529411766,0.6351097560975609,1.7647058823529411,3.292941176470589,5.050588235294117,0.8729411764705876,0.48470588235294115,0.9647058823529412,1.1529411764705881,2.3435294117647056,7.150588235294113,12.88705882352941,0.4966904761904763,0.014130952380952385,0.41638095238095263,10.814117647058822,19.64235294117647,15.22235294117647,6.794117647058825,1.3035294117647058,3.432941176470589,16.32470588235294,17.987058823529406,1.2258823529411769,1.6176470588235283,2.8411764705882363,0.07723529411764704,-2.770588235294118,0.06941176470588228,-2.7011764705882353,0.49882352941176467,
