Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary
SG,25.720588235294116,56.661764705882355,22.573529411764707,19.98676470588234,3.9514705882352947,8.394117647058824,0.4529705882352942,0.11617647058823523,0.43088235294117655,0.21953968253968256,3.8323529411764694,7.952941176470584,0.46247058823529397,0.461014705882353,1.9014705882352947,2.4602941176470585,0.742220588235294,0.8044117647058822,1.347058823529412,2.15,2.369117647058824,0.7897058823529409,0.19558823529411756,1.473529411764706,1.939705882352941,9.93235294117647,13.420588235294113,0.5061470588235295,0.06154411764705882,0.30149999999999993,4.6573529411764705,7.45,6.052941176470588,16.166176470588237,1.9970588235294116,0.5676470588235293,14.366176470588234,21.633823529411764,1.495588235294117,1.0176470588235287,2.514705882352941,0.0673235294117647,-0.886764705882353,-0.49852941176470605,-1.386764705882353,0.6485294117647056,
SF,25.694444444444443,59.013888888888886,29.51388888888889,21.20833333333333,3.9111111111111114,7.843055555555558,0.48568055555555545,0.030555555555555558,0.12777777777777774,0.15437704918032785,3.874999999999999,7.712500000000001,0.49008333333333337,0.48777777777777775,1.8972222222222221,2.5555555555555567,0.7237777777777779,1.3750000000000004,2.2874999999999996,3.6569444444444437,1.8263888888888884,0.7277777777777775,0.31805555555555576,1.4597222222222224,2.277777777777778,9.738888888888885,13.309722222222225,0.5302777777777776,0.01805555555555556,0.3340694444444444,7.152777777777775,11.509722222222216,9.315277777777776,11.338888888888896,1.6055555555555558,0.8000000000000003,14.86111111111111,19.16388888888889,1.775,1.3111111111111107,3.0874999999999986,0.08601388888888886,-0.7055555555555557,-0.1930555555555556,-0.9069444444444444,0.7958333333333334,
C,27.120689655172413,61.241379310344826,32.224137931034484,21.698275862068964,3.6155172413793113,7.062068965517243,0.4988793103448276,0.001724137931034483,0.017241379310344827,0.20417241379310347,3.6103448275862076,7.037931034482759,0.4996724137931034,0.4992241379310344,1.9551724137931032,2.7224137931034478,0.6820357142857143,1.7603448275862073,3.958620689655172,5.71206896551724,1.3672413793103455,0.4775862068965518,1.0034482758620689,1.6000000000000008,2.8448275862068977,9.179310344827586,12.793103448275865,0.5354482758620689,0.0031551724137931043,0.40953448275862075,8.482758620689657,19.208620689655174,13.84655172413793,8.406896551724138,1.0017241379310344,2.5258620689655173,18.282758620689656,17.293103448275865,1.6189655172413802,1.937931034482759,3.558620689655173,0.08181034482758621,-1.505172413793103,0.4706896551724137,-1.0310344827586206,0.8517241379310346,
PG,25.86,61.08,37.08,22.979999999999997,3.668000000000002,7.834000000000003,0.45219999999999994,0.10799999999999998,0.4220000000000001,0.20146666666666666,3.556,7.417999999999999,0.46355999999999997,0.45886000000000005,1.6179999999999994,2.1020000000000003,0.7735416666666667,0.5040000000000001,1.4119999999999997,1.91,4.436,1.1600000000000001,0.13399999999999995,1.7279999999999995,2.28,9.048,12.58,0.5009999999999999,0.05295999999999999,0.27402,2.4379999999999997,6.49,4.457999999999999,25.013999999999992,2.34,0.32,17.994,18.182000000000002,1.4500000000000002,1.4779999999999998,2.9360000000000004,0.06740000000000002,-1.024,0.10800000000000001,-0.914,0.8520000000000003,
PF,25.90909090909091,59.27272727272727,26.984848484848484,20.93636363636364,3.4757575757575765,7.006060606060605,0.48457575757575755,0.0030303030303030303,0.04393939393939395,0.1526595744680851,3.468181818181819,6.95151515151515,0.48690909090909096,0.4851666666666667,1.6575757575757575,2.395454545454545,0.6629393939393938,1.6833333333333333,3.525757575757575,5.206060606060606,1.3348484848484847,0.6257575757575758,0.653030303030303,1.4863636363636368,2.646969696969696,8.624242424242425,12.753030303030306,0.5181969696969698,0.007303030303030306,0.3647878787878787,9.166666666666664,18.078787878787878,13.612121212121211,8.18030303030303,1.428787878787879,1.7424242424242418,16.800000000000004,17.760606060606055,1.1318181818181818,1.6742424242424236,2.793939393939395,0.07495454545454547,-1.5469696969696964,0.07878787878787878,-1.4772727272727275,0.5348484848484849,
